form	lemma	POS	morph
dos	doṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
aver	avẹr	VERinf	MORPH=empty
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
poc	podẹr	ADVgen	DEGRE=-
,	,	PONfbl	_
sol	sọl2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
disses	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
tan	tan	ADVgen	DEGRE=-
:	:	PONfbl	_
«	«	PONpga	MORPH=empty
daus	deves	NOMcom	NOMB.=s|GENRE=m|CAS=n
part	part3	VERcjg	NOMB.=s|GENRE=f|CAS=r
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
comte	cọmte	CONsub	MORPH=empty
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
deman	demandar	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
trop	trǫp2	ADVgen	DEGRE=-
fo	ęser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
li	lo2	DETdef	NOMB.=s|GENRE=m|CAS=n
cortz	cọrt2	VERppe	NOMB.=p|GENRE=m|CAS=r
ben	bẹṉ	ADVgen	DEGRE=p
establida	establir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	_
per	per	NOMcom	MORPH=empty
rics	ric	NOMcom	NOMB.=p|GENRE=m|CAS=n
si	si2	ADVgen	DEGRE=-
ten	tenẹr	ADVgen	PERS.=2|NOMB.=s|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
plus	plus	ADVgen	DEGRE=-
envida	envidar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	e	CONcoo	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
plus	plus	ADVgen	DEGRE=-
conducha	conduchar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ni	ni	ADVneg	NOMB.=s|GENRE=m|CAS=n
gasta	gastar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	_
cascuns	cascuṉ	PROind	NOMB.=s|GENRE=m|CAS=n
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
esforsa	esforsar 	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	e	CONcoo	MORPH=empty
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
azasta	adastar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
dar	dar	ADVgen	MORPH=empty
a	a2	PRE	MORPH=empty
celz	cẹl2	PROdem	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
penre	prẹndre	NOMpro	NOMB.=s|GENRE=m|CAS=n
volo	volẹr	VERcjg	PERS.=2|NOMB.=p|GENRE=m|CAS=n
.	.	PONfrt	_
genz	gẹns	NOMcom	NOMB.=s|GENRE=m|CAS=n
non	nọṉ	NOMcom	MORPH=empty
son	ęser	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cortz	cortẹs	VERppe	NOMB.=p|GENRE=m|CAS=r
aitals	aital	NOMpro	NOMB.=s|GENRE=m|CAS=n
com	cọm	CONsub	MORPH=empty
solo	solẹr 	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
;	;	PONfbl	_
breumen	breumẹn	NOMcom	NOMB.=p|GENRE=m|CAS=n
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	ẹn3	PRE	MORPH=empty
passa	pasar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
hom	ọme	NOMcom	NOMB.=s|GENRE=m|CAS=n
aora	aọr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
per	per	NOMcom	MORPH=empty
que	que	CONsub	MORPH=empty
vai	anar	VERcjg	MODE=imp|PERS.=2|NOMB.=s
pres	prętz	ADVgen	DEGRE=-
a	a2	PRE	MORPH=empty
mala	mal	ADVgen	DEGRE=-
ora	ọra	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
.	.	PONfrt	_
non	nọṉ	NOMcom	MORPH=empty
es	ęser	PRE.DETdef	DEGRE=-
meravilla	meravẹlha	ADVgen	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
neguna	neguṉ	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
car	car3	CONcoo	MORPH=empty
totz	tọt	PROind	NOMB.=s|GENRE=m|CAS=n
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
monz	mọn2	VERppe	NOMB.=s|GENRE=m|CAS=n
trai	traire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
a	a2	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
una	uṉ	NOMpro	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	_
sabez	saber	VERppe	NOMB.=s|GENRE=m|CAS=n
cals	cal	PROdem	NOMB.=s|GENRE=m|CAS=n
una	uṉ	NOMpro	NOMB.=s|GENRE=f|CAS=n
es	ęser	PRE.DETdef	DEGRE=-
aquil	aquẹl	ADVgen	NOMB.=s|GENRE=m|CAS=n
?	?	PONfrt	_
malvestatz	malvestat	VERppe	NOMB.=s|GENRE=m|CAS=n
c'	que	CONsub	NOMB.=s|GENRE=n|CAS=n
a	avẹr	PRE	MORPH=empty
mes	mẹtre	CONcoo	MORPH=empty
en	ẹn	PRE	MORPH=empty
essil	eisilh	VERppe	NOMB.=s|GENRE=m|CAS=n
valor	valọr	NOMcom	NOMB.=s|GENRE=f|CAS=r
e	e	CONcoo	MORPH=empty
so	so	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
qu'	que	CONsub	MORPH=empty
a	a2	PRE	MORPH=empty
leis	lieis	ADJqua	NOMB.=s|GENRE=m|CAS=n
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
atain	atanher	NOMcom	DEGRE=-
;	;	PONfbl	_
pres	prętz	ADVgen	DEGRE=-
es	ęser	PRE.DETdef	DEGRE=-
mortz	morir 	VERppe	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
jois	jǫi	VERppe	NOMB.=s|GENRE=m|CAS=n
sos	sọṉ2	PRE	MORPH=empty
compain	companhọṉ	NOMcom	NOMB.=p|GENRE=m|CAS=n
.	.	PONfrt	_
e	e	CONcoo	MORPH=empty
deus	dęu	NOMpro	NOMB.=s|GENRE=m|CAS=n
!	!	PONfrt	_
per	per	NOMcom	MORPH=empty
que	que	CONsub	MORPH=empty
?	?	PONfrt	_
deu	dęu	NOMpro	NOMB.=s|GENRE=m|CAS=r
!	!	PONfrt	_
car	car3	CONcoo	MORPH=empty
vergoina	vergọnha	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mor	morir	VERppe	NOMB.=p|GENRE=m|CAS=n
cascun	cascuṉ	PROind	NOMB.=s|GENRE=m|CAS=n
jorn	jọrn	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	_
e	e	CONcoo	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
poina	ponhar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
donchas	dọnc	VERppa	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
garir	garir	VERinf	MORPH=empty
conoissensa	conoisensa	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
?	?	PONfrt	_
per	per	NOMcom	MORPH=empty
dieu	dęu	NOMpro	NOMB.=s|GENRE=m|CAS=r
!	!	PONfrt	_
non	nọṉ	NOMcom	MORPH=empty
ges	gẹns	NOMcom	MORPH=empty
,	,	PONfbl	_
car	car3	CONcoo	MORPH=empty
benvolenza	benvolẹnsa	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
non	nọṉ	NOMcom	MORPH=empty
es	ęser	PRE.DETdef	DEGRE=-
oi	ǫi	VERppe	MORPH=empty
res	rẹṉ	ADVgen	DEGRE=-
mais	mais 	CONcoo	MORPH=empty
fins	fiṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
baratz	barat	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
car	car3	CONcoo	MORPH=empty
,	,	PONfbl	_
si	si	ADVgen	DEGRE=-
conseil	consẹlh	VERppe	NOMB.=s|GENRE=m|CAS=r
neis	nẹis	VERppe	NOMB.=s|GENRE=m|CAS=n
demandatz	demandar	VERppe	MODE=imp|PERS.=2|NOMB.=p
,	,	PONfbl	_
non	nọṉ	NOMcom	MORPH=empty
trobares	trobar	NOMpro	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
ja	ja	ADVgen	DEGRE=-
-l	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
don	donar	ADVgen	DEGRE=-
si	si	ADVgen	DEGRE=-
non	nọṉ	NOMcom	MORPH=empty
i	i	PROadv	MORPH=empty
conois	conoiser	VERppe	NOMB.=s|GENRE=m|CAS=r
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
sieu	sęu	VERppe	NOMB.=s|GENRE=m|CAS=n
pron	prọ2	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	_
o	o	PROrel	MORPH=empty
-l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
pron	prọ2	NOMcom	NOMB.=s|GENRE=m|CAS=r
ques	que	DETint	NOMB.=s|GENRE=m|CAS=n
es	ęser	PRE.DETdef	DEGRE=-
de	de	PRE	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
amic	amic	VERppe	NOMB.=s|GENRE=m|CAS=r
o	o	PROrel	MORPH=empty
-l	el	DETdef	NOMB.=s|GENRE=f|CAS=n
dan	dan	NOMcom	NOMB.=s|GENRE=m|CAS=r
qu'	que	CONsub	MORPH=empty
es	ęser 	PRE.DETdef	DEGRE=-
de	de	PRE	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
enemic	enemic 	VERppe	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	_
per	per	NOMcom	MORPH=empty
so	so	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
-n	ẹn3	ADVneg	MORPH=empty
fail	falhir	NOMcom	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
joven	jovẹn	NOMcom	NOMB.=s|GENRE=m|CAS=r
capte	captenẹr	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	_
no	nọṉ	NOMcom	MORPH=empty
m'	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
o	ọ2	PROrel	MORPH=empty
cal	calẹr	NOMcom	NOMB.=s|GENRE=m|CAS=r
dir	dire	ADVgen	MORPH=empty
,	,	PONfbl	_
cascus	cascuṉ	VERppe	NOMB.=s|GENRE=m|CAS=n
o	ọ2	PROrel	MORPH=empty
ve	vezẹr	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
c'	que2	CONsub	NOMB.=s|GENRE=n|CAS=n
amors	amọr	NOMcom	NOMB.=s|GENRE=m|CAS=n
dechai	decazẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	e	CONcoo	MORPH=empty
te	tenẹr	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
-l	el	DETdef	NOMB.=s|GENRE=f|CAS=n
cap	cap	ADVgen	DEGRE=-
morn	mọrn	NOMcom	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	_
pero	pero	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	a2	PRE	MORPH=empty
mas	ma	CONcoo	MORPH=empty
novas	nǫvas	NOMcom	NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
torn	tornar 	NOMcom	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
dimenegue	dimẹnge	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	_
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ben	bọṉ	ADVgen	DEGRE=p
mati	matiṉ	ADVgen	DEGRE=-
,	,	PONfbl	_
en	ẹn2	PRE	MORPH=empty
archimbautz	Archimbautz	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
que	que	CONsub	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
dormi	dormir 	VERppe	NOMB.=s|GENRE=m|CAS=r
tres	trẹs	ADVgen	DEGRE=-
sers	sẹr	PRE	MORPH=empty
avia	avẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ja	ja	ADVgen	DEGRE=-
passatz	pasar	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
si	si2	ADVgen	DEGRE=-
fon	ęser 	NOMcom	NOMB.=s|GENRE=m|CAS=r
vestitz	vestir	NOMcom	NOMB.=s|GENRE=m|CAS=n
ja	ja	ADVgen	DEGRE=-
e	e	CONcoo	MORPH=empty
causatz	causar	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
quan	can	CONsub	MORPH=empty
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
coms	cọmte	VERppe	MORPH=empty
a	a2	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
cambr'	cambra	NOMcom	MORPH=empty
intret	intrar	VERcjg	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	_
de	de	PRE	MORPH=empty
part	part3	VERcjg	NOMB.=s|GENRE=f|CAS=r
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
saludet	saludar	VERcjg	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	_
et	e	CONcoo	MORPH=empty
el	el2	PRE.DETdef	PERS.=3|NOMB.=s|GENRE=f|CAS=n
respon	respọndre	NOMcom	NOMB.=s|GENRE=f|CAS=r
:	:	PONfbl	_
«	«	PONpga	MORPH=empty
bel	bęl	ADVgen	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
sener	senhọr	VERinf	MORPH=empty
,	,	PONfbl	_
deus	dęu	NOMpro	NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
don	donar	ADVgen	DEGRE=-
tal	tal	ADVgen	NOMB.=s|GENRE=m|CAS=r
gauh	gaug	NOMpro	NOMB.=s|GENRE=m|CAS=n
con	cọm	NOMcom	MORPH=empty
es	ęser	PRE.DETdef	DEGRE=-
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mieus	męu	ADVgen	DEGRE=c
quan	can	CONsub	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
mentaves	mentaure	ADVgen	NOMB.=p|GENRE=f|CAS=r
.	.	PONfrt	_
levas	levar	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
d'	de	PRE	MORPH=empty
aqui	aqui	ADVgen	DEGRE=-
,	,	PONfbl	_
si	si	ADVgen	DEGRE=-
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
venes	venir	NOMcom	NOMB.=s|GENRE=m|CAS=n
doncas	dọnc	VERppe	NOMB.=s|GENRE=m|CAS=n
vezer	vezẹr	VERinf	MORPH=empty
dedinz	dedins	ADVgen	DEGRE=-
sa	sa	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
cambra	cambra	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	_
assas	asatz	ADVgen	DEGRE=-
lai	lai	ADVgen	NOMB.=s|GENRE=f|CAS=r
a	avẹr	PRE	MORPH=empty
musquet	musquẹt	ADVgen	DEGRE=-
et	e	CONcoo	MORPH=empty
ambra	ambra	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
et	e	CONcoo	MORPH=empty
autras	autre	PROind	NOMB.=s|GENRE=m|CAS=n
joias	jǫia	ADVgen	DEGRE=-
que	que	CONsub	MORPH=empty
-us	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
pot	podẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dar	dar	ADVgen	MORPH=empty
.	.	PONfrt	_
sener	senhọr	VERinf	MORPH=empty
,	,	PONfbl	_
si	si	ADVgen	DEGRE=-
la	lai	DETdef	NOMB.=s|GENRE=f|CAS=n
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
voles	volẹr	VERcjg	NOMB.=p|GENRE=f|CAS=r
menar	menar	VERinf	MORPH=empty
,	,	PONfbl	_
anc	anc	ADVgen	DEGRE=-
tan	tan	ADVgen	DEGRE=-
volontiers	volontier2	ADVgen	DEGRE=-
non	nọṉ	NOMcom	MORPH=empty
anei	anar	ADVgen	NOMB.=s|GENRE=m|CAS=r
e	ẹn	CONcoo	MORPH=empty
negun	neguṉ	NOMcom	NOMB.=s|GENRE=m|CAS=r
luec	lǫc	ADVgen	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
pos	pǫis 	NOMcom	DEGRE=-
mi	mi	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
nasquei	naiser	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
coms	cọmte	VERppe	MORPH=empty
lo	lo3	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
pres	prẹndre	ADVgen	DEGRE=-
per	per	NOMcom	MORPH=empty
miei	męg	VERppe	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
ma	maṉ	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	_
ab	ab	NOMcom	MORPH=empty
lui	lui	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
vas	vas2	NOMcom	NOMB.=s|GENRE=m|CAS=n
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
cambra	cambra	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	ẹn3	PRE	MORPH=empty
va	anar	VERcjg	MODE=imp|PERS.=2|NOMB.=s
et	e	CONcoo	MORPH=empty
a	a2	PRE	MORPH=empty
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
lo	lo3	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
presenta	prezentar 	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	_
non	nọṉ	NOMcom	MORPH=empty
fes	faire	VERcjg	NOMB.=p|GENRE=f|CAS=r
semblan	semblan	NOMpro	NOMB.=s|GENRE=m|CAS=r
que	que2	CONsub	MORPH=empty
fos	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=n
dolenta	dolẹr 	ADJqua	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
mas	mais 	CONcoo	MORPH=empty
un	uṉ	DETndf	NOMB.=s|GENRE=m|CAS=r
pauc	pauc	NOMcom	NOMB.=s|GENRE=m|CAS=n
estet	estar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vergonosa	vergonhọs	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	_
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
coms	cọmte	VERppe	MORPH=empty
dis	dire	NOMcom	NOMB.=p|GENRE=m|CAS=n
:	:	PONfbl	_
«	«	PONpga	MORPH=empty
veci	vec	VERppe	NOMB.=s|GENRE=m|CAS=r
vostr'	vostra	ADVgen	DEGRE=-
esposa	espọza	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
n'	ẹn2	ADVneg	MORPH=empty
archimbaut	Archimbautz	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
si	si	ADVgen	DEGRE=-
-us	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
plas	plazẹr	ADVgen	DEGRE=-
,	,	PONfbl	_
prendes	prẹndre	ADJqua	NOMB.=p|GENRE=f|CAS=r
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	_
sener	senhọr	VERinf	MORPH=empty
,	,	PONfbl	_
si	si	ADVgen	DEGRE=-
en	ẹn2	PRE	MORPH=empty
leis	lieis	ADJqua	NOMB.=s|GENRE=m|CAS=n
non	nọṉ	NOMcom	MORPH=empty
rema	remanẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
anc	anc	ADVgen	DEGRE=-
ren	rẹṉ	NOMcom	MODE=imp|PERS.=2|NOMB.=s
tan	tan	ADVgen	DEGRE=-
volontiers	volontier2	ADVgen	DEGRE=-
non	nọṉ	NOMcom	MORPH=empty
pris	prẹndre	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
adoncs	adonc	ADVgen	DEGRE=-
li	lo2	DETdef	NOMB.=s|GENRE=m|CAS=n
piucella	piusęla	ADVgen	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
somris	somrire	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
e	e	CONcoo	MORPH=empty
dis	dire	NOMcom	NOMB.=p|GENRE=m|CAS=n
:	:	PONfbl	_
«   «   PONpga  MORPH=empty
sener	senhọr	VERinf	MORPH=empty
,	,	PONfbl	_
ben	bẹṉ	ADVgen	DEGRE=p
faitz	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
parer	parẹr	VERinf	MORPH=empty
que	que2	CONsub	MORPH=empty
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
tengas	tenẹr	NOMcom	NOMB.=s|GENRE=m|CAS=n
en	ẹn	PRE	MORPH=empty
vostre	vǫstre	DETpos	PERS.=2|NOMB.=p|GENRE=m|CAS=n
poder	podẹr	VERinf	MORPH=empty
,	,	PONfbl	_
qu'	que2	CONsub	MORPH=empty
aissi	aissi	ADVgen	DEGRE=-
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
donas	donar	ADVgen	DEGRE=-
leugeramen	leugieramen	NOMpro	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	_
mais	mais 	CONcoo	MORPH=empty
,	,	PONfbl	_
pos	pǫis 	NOMcom	DEGRE=-
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
plas	plazẹr	ADVgen	DEGRE=-
,	,	PONfbl	_
ieu	eu	VERppe	NOMB.=s|GENRE=m|CAS=r
i	i	PROadv	MORPH=empty
consen	consentir 	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	_
»   »   PONpdr  MORPH=empty
d'	de	PRE	MORPH=empty
aicest	aicest	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
consen	consentir	NOMcom	NOMB.=s|GENRE=m|CAS=r
tan	tan	ADVgen	DEGRE=-
gran	gran 	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
joi	jǫi	NOMcom	DEGRE=-
ac	avẹr	ADVgen	DEGRE=-
en	ẹn2	PRE	MORPH=empty
archimbautz	Archimbautz	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
e	e	CONcoo	MORPH=empty
tan	tan	ADVgen	DEGRE=-
li	lo3	DETdef	NOMB.=s|GENRE=m|CAS=n
plac	plazẹr	ADJqua	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
no	nọṉ	NOMcom	MORPH=empty
-s	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
poc	podẹr	ADVgen	DEGRE=-
tener	tenẹr	VERinf	MORPH=empty
que	que2	CONsub	MORPH=empty
no	nọṉ	NOMcom	MORPH=empty
-il	lo3	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
preses	prẹndre	ADJqua	NOMB.=s|GENRE=m|CAS=n
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
ma	maṉ	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
e	e	CONcoo	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
l'	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
estreisses	estrẹnher	ADVgen	NOMB.=p|GENRE=f|CAS=r
.	.	PONfrt	_
abtan	ab+tan	NOMcom	NOMB.=p|GENRE=m|CAS=n
se	sẹ	CONsub	MORPH=empty
parton	partir	NOMcom	NOMB.=s|GENRE=f|CAS=r
ambedui	abdọs	VERppe	NOMB.=p|GENRE=m|CAS=n
;	;	PONfbl	_
en	ẹn2	PRE	MORPH=empty
archimbautz	Archimbautz	VERppe	NOMB.=s|GENRE=m|CAS=n
sab	saber	NOMcom	NOMB.=s|GENRE=m|CAS=n
ben	bẹṉ	ADVgen	DEGRE=p
a	a2	PRE	MORPH=empty
cui	qui	PROdem	NOMB.=s|GENRE=m|CAS=n
laissa	laisar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cor	cǫr	NOMcom	MORPH=empty
que	que	CONsub	MORPH=empty
ges	gẹns	NOMcom	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
porta	portar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	_
regardan	regardar	VERcjg	NOMB.=p|GENRE=m|CAS=n
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	ẹn3	PRE	MORPH=empty
vai	anar	VERcjg	MODE=imp|PERS.=2|NOMB.=s
a	a2	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
porta	pǫrta	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	_
de	de	PRE	MORPH=empty
lai	lai	ADVgen	NOMB.=s|GENRE=f|CAS=r
pren	prẹndre	NOMcom	NOMB.=s|GENRE=m|CAS=r
comjat	comjat	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ab	ab	NOMcom	MORPH=empty
los	lo2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
oilz	ǫlh	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
a	a2	PRE	MORPH=empty
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
non	nọṉ	NOMcom	MORPH=empty
tolc	tǫlre	ADVgen	NOMB.=s|GENRE=m|CAS=r
