form	lemma	POS	morph
que	que	CONsub	MORPH=empty
fei	faire	NOMcom	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
quant	can	CONsub	MORPH=empty
anet	anar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
am	ab	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
maistre	maestre	NOMcom	NOMB.=s|GENRE=m|CAS=n
W	W	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Rochafort	Rochafort	NOMpro	NOMB.=s|GENRE=m|CAS=n
vers	vas2	PRE	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
conestable	comestable	NOMcom	NOMB.=s|GENRE=f|CAS=n
e	e	CONcoo	MORPH=empty
per	pẹr	NOMcom	MORPH=empty
las	lo2	DETdef	PERS.=3|NOMB.=p|GENRE=m|CAS=r
anadas	anada2	NOMcom	NOMB.=p|GENRE=m|CAS=n
am	ab	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
los	lo2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
cossols	consol	VERppe	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
VII	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
e	e	CONcoo	MORPH=empty
II	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
per	pẹr	NOMcom	MORPH=empty
l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
anada	anada2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
fei	faire	NOMcom	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	ẹn2	PRE	MORPH=empty
Bonets	Bonet	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Rochafort	Rochafort	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
P	P	PRE	MORPH=empty
Bozoms	Bonome	NOMcom	NOMB.=s|GENRE=m|CAS=n
quant	can	CONsub	MORPH=empty
aneront	anar	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
conestable	comestable	NOMcom	NOMB.=s|GENRE=f|CAS=n
a	a2	PRE	MORPH=empty
Monpanseir	Monpanseir	NOMpro	NOMB.=s|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
logeir	loguier	NOMcom	NOMB.=s|GENRE=m|CAS=n
daus	da+lo2	NOMcom	NOMB.=s|GENRE=m|CAS=n
rosis	rociṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
despes	despẹns	ADVgen	DEGRE=-
que	que	CONsub	MORPH=empty
feiront	faire	VERcjg	NOMB.=x|GENRE=x|CAS=x
li	lo2	DETdef	NOMB.=s|GENRE=m|CAS=n
cossol	consol	NOMcom	NOMB.=s|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
trabalha	trebalha	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
lor	lo3	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
fazia	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
bailes	baile	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Sebazac	Sebazac	VERppe	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
II	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
logeir	loguier	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
rosis	rociṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
quant	can	CONsub	MORPH=empty
anet	anar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	ẹn2	PRE	MORPH=empty
B	B	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Mazoeirs	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
D	D	PRE	MORPH=empty
Boers	Boeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
baile	baile	NOMcom	NOMB.=s|GENRE=f|CAS=n
de	de	PRE	MORPH=empty
Sebazac	Sebazac	VERppe	NOMB.=s|GENRE=m|CAS=n
requere	requerẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
vengues	venir	NOMcom	NOMB.=s|GENRE=m|CAS=n
metre	mẹtre	NOMcom	MORPH=empty
dec	dęc	ADVgen	DEGRE=-
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
poi	pǫg	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
Croela	Croela	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XXI	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
costet	costar	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
prezens	prezẹn2	PROord	NOMB.=p|GENRE=m|CAS=n
a	a2	PRE	MORPH=empty
ma	ma	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
dona	dọmna	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
agront	avẹr	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
li	lo2	DETdef	NOMB.=s|GENRE=m|CAS=n
trompador	trombadọr	NOMcom	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mesatges	mesatge	NOMcom	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
los	lo3	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
anet	anar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
querre	quęrre	VERinf	MORPH=empty
quant	can	CONsub	MORPH=empty
fezesmes	faire	VERcjg	NOMB.=p|GENRE=f|CAS=r
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
mostra	mǫstra	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
escripsio	escriptio	VERppe	NOMB.=s|GENRE=m|CAS=n
a	a2	PRE	MORPH=empty
maistre	maestre	NOMcom	NOMB.=s|GENRE=m|CAS=n
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Albanel	Albanel	NOMpro	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
X	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
per	pẹr	NOMcom	MORPH=empty
maistre	maestre	NOMcom	NOMB.=s|GENRE=m|CAS=n
W	W	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Rochafort	Rochafort	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
salari	salari	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cosol	consol	NOMcom	NOMB.=s|GENRE=m|CAS=r
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XVIII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=r
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
B	B	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Mazoeirs	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Veil	vẹlh	NOMcom	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
XVIII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=r
jornadas	jornada	NOMpro	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XXXIII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
e	e	CONcoo	MORPH=empty
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Cordeir	Cordeir	VERinf	MORPH=empty
per	pẹr	NOMcom	MORPH=empty
sas	sọṉ2	PRE	MORPH=empty
jornadas	jornada	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
sa	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
despessas	despẹnsa	NOMcom	NOMB.=p|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
se	sẹ	CONsub	MORPH=empty
e	e	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
en	ẹn2	PRE	MORPH=empty
B	B	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Mazoeir	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Veil	vẹlh	NOMcom	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
P	P	PRE	MORPH=empty
Bonome	Bonome	NOMpro	NOMB.=s|GENRE=m|CAS=r
quant	can	CONsub	MORPH=empty
aneront	anar	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
bailiu	bailiu	ADVgen	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
a	a2	PRE	MORPH=empty
ma	ma	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
dona	dọmna	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
X	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
e	e	CONcoo	MORPH=empty
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
P	P	PRE	MORPH=empty
Albanel	Albanel	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
lojeir	loguier	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
rosis	rociṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
menet	menar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Corders	Corders	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
B	B	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Mazoeirs	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Veils	vẹlh	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XVIII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=r
d	denier	PRE	MORPH=empty
c	que	CONsub	NOMB.=s|GENRE=n|CAS=n
ac	avẹr	ADVgen	DEGRE=-
P	P	PRE	MORPH=empty
Albanel	Albanel	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
resmer	resmar	NOMpro	NOMB.=s|GENRE=m|CAS=n
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
percurasio	procuration	VERppe	NOMB.=s|GENRE=m|CAS=n
a	a2	PRE	MORPH=empty
Sebazac	Sebazac	VERppe	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
despessa	despẹnsa	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
B	B	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Mazoeirs	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Veils	vẹlh	NOMcom	NOMB.=s|GENRE=m|CAS=n
quant	can	CONsub	MORPH=empty
anet	anar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
chastela	castelaṉ	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
V	@num@	PROper	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
mosen	mossenher	NOMcom	NOMB.=s|GENRE=m|CAS=n
W	W	CONcoo	MORPH=empty
Peirals	Peiral	NOMpro	NOMB.=p|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
screpsio	escriptio	NOMcom	NOMB.=p|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
e	e	CONcoo	MORPH=empty
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
W	W	CONcoo	MORPH=empty
Bailes	Baile	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
logeir	loguier	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
rosis	rociṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Mauriac	Mauriac	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
logeir	loguier	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
rosis	rociṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
II	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
P	P	PRE	MORPH=empty
Mazoers	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
logeir	loguier	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
rosis	rociṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
Soma	sọma	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
CII	@num@	NOMcom	NOMB.=s|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
A	a2	PRE	MORPH=empty
Jacme	Jacme	NOMpro	NOMB.=s|GENRE=m|CAS=n
Brunel	Brunel	NOMpro	NOMB.=s|GENRE=m|CAS=n
devem	devẹr	ADVgen	DEGRE=-
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
e	e	CONcoo	MORPH=empty
IIII	catre	PROcar	NOMB.=p|GENRE=m|CAS=r
d	denier	PRE	MORPH=empty
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
III	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
A	a2	PRE	MORPH=empty
D	D	PRE	MORPH=empty
Toel	Toel	NOMpro	NOMB.=s|GENRE=m|CAS=n
devem	devẹr	ADVgen	DEGRE=-
XXV	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
Paiat	pagar	NOMpro	NOMB.=s|GENRE=m|CAS=n
XIX	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Corders	Corders	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
P	P	PRE	MORPH=empty
Brus	Brus	ADJqua	NOMB.=s|GENRE=m|CAS=n
A	a2	PRE	MORPH=empty
mosen	mossenher	NOMcom	NOMB.=s|GENRE=m|CAS=n
J	J	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Albanel	Albanel	NOMpro	NOMB.=s|GENRE=m|CAS=n
devem	devẹr	ADVgen	DEGRE=-
XX	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
A	a2	PRE	MORPH=empty
en	ẹn2	PRE	MORPH=empty
J	J	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Bornet	Bornet	NOMpro	NOMB.=p|GENRE=m|CAS=n
devem	devẹr	ADVgen	DEGRE=-
XX	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
E	e	CONcoo	MORPH=empty
fo	ęser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
paiat	pagar	VERcjg	NOMB.=s|GENRE=m|CAS=n
Al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
sagresta	sagrestaṉ	NOMpro	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
devem	devẹr	ADVgen	DEGRE=-
XXX	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
Fo	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=n
paiat	pagar	VERcjg	NOMB.=s|GENRE=m|CAS=n
A	a2	PRE	MORPH=empty
las	lo2	DETdef	PERS.=3|NOMB.=p|GENRE=m|CAS=r
gardas	garda	NOMcom	NOMB.=s|GENRE=m|CAS=n
devem	devẹr	ADVgen	DEGRE=-
XX	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
a	a2	PRE	MORPH=empty
Chavaleir	Chavaleir	NOMcom	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
Bodi	Bodi	VERppe	NOMB.=s|GENRE=m|CAS=r
A	a2	PRE	MORPH=empty
D	D	PRE	MORPH=empty
l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
uchaire	ucadọr	VERinf	MORPH=empty
devem	devẹr	ADVgen	DEGRE=-
LXX	@num@	ADJord	PERS.=3|NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
A	a2	PRE	MORPH=empty
maistre	maestre	NOMcom	NOMB.=s|GENRE=m|CAS=n
W	W	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Rochafort	Rochafort	NOMpro	NOMB.=s|GENRE=m|CAS=n
devem	devẹr	ADVgen	DEGRE=-
X	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
D	de	PRE	MORPH=empty
ujan	ogan	NOMcom	NOMB.=s|GENRE=m|CAS=r
paiat	pagar	VERcjg	NOMB.=s|GENRE=m|CAS=n
X	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mercres	męrcres	NOMcom	NOMB.=s|GENRE=m|CAS=n
apres	apręs	ADVgen	DEGRE=-
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
Saint_Micolau	Sanh_Nicolau	NOMpro	NOMB.=s|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
ivern	ivęrn	NOMcom	NOMB.=s|GENRE=m|CAS=n
P	P	PRE	MORPH=empty
Bonome	Bonome	NOMpro	NOMB.=s|GENRE=m|CAS=r
XII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
devom	devẹr	PRE	MORPH=empty
Anno	annus	NOMcom	NOMB.=s|GENRE=m|CAS=r
Domini	Dominus	VERppe	NOMB.=s|GENRE=m|CAS=r
MºCCºIIIIXXII	@num@	NOMpro	NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
lhus	lus	VERppe	NOMB.=s|GENRE=m|CAS=n
apres	apręs	ADVgen	DEGRE=-
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
Saint_Micolau	Sanh_Nicolau	NOMpro	NOMB.=s|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
ivern	ivęrn	NOMcom	NOMB.=s|GENRE=m|CAS=n
B	B	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Mazoeirs	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
dal	da+lo2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
Treil	Troil	NOMcom	NOMB.=s|GENRE=m|CAS=n
P	P	PRE	MORPH=empty
Albanels	Albanel	NOMpro	NOMB.=s|GENRE=m|CAS=n
Jacme	Jacme	NOMpro	NOMB.=s|GENRE=m|CAS=n
Brunel	Brunel	NOMpro	NOMB.=s|GENRE=m|CAS=n
D	D	PRE	MORPH=empty
Amoros	Amoros	NOMpro	NOMB.=s|GENRE=m|CAS=n
P	P	PRE	MORPH=empty
Bru	Brus	ADJqua	NOMB.=s|GENRE=m|CAS=n
D	D	PRE	MORPH=empty
Boeir	Boeir	NOMpro	MORPH=empty
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Cordeir	Cordeir	VERinf	MORPH=empty
Bonet	Bonet	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
Rochafort	Rochafort	NOMpro	NOMB.=s|GENRE=m|CAS=n
rederont	rędre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
cosols	consol	VERppe	NOMB.=s|GENRE=m|CAS=n
B	B	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Tondeire	Tondeire	NOMpro	NOMB.=s|GENRE=f|CAS=r
S	S	CONsub	DEGRE=-
Bonome	Bonome	NOMpro	NOMB.=s|GENRE=m|CAS=r
P	P	PRE	MORPH=empty
de	de	PRE	MORPH=empty
Gozom	Gozom	NOMpro	NOMB.=s|GENRE=m|CAS=n
W	W	CONcoo	MORPH=empty
Baile	Baile	VERppe	NOMB.=s|GENRE=f|CAS=n
Andreu	Andreu	NOMpro	NOMB.=s|GENRE=m|CAS=n
Porteir	Porteir	VERinf	MORPH=empty
W	W	CONcoo	MORPH=empty
Tucarela	Tucarela	NOMpro	NOMB.=s|GENRE=m|CAS=n
S	S	CONsub	DEGRE=-
Borseir	Borseir	NOMpro	NOMB.=s|GENRE=m|CAS=n
D	D	PRE	MORPH=empty
Arnalt	Arnalt	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
lor	lo3	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
rederont	rędre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
conte	cọmte2	NOMcom	NOMB.=s|GENRE=f|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mescre	męrcres	NOMcom	NOMB.=s|GENRE=m|CAS=n
apres	apręs	ADVgen	DEGRE=-
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
Saint_Micolau	Sanh_Nicolau	NOMpro	NOMB.=s|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
ivern	ivęrn	NOMcom	NOMB.=s|GENRE=m|CAS=n
Sai	sai	VERcjg	MODE=imp|PERS.=2|NOMB.=s
foront	ęser	ADVgen	DEGRE=-
P	P	PRE	MORPH=empty
Bozom	Bonome	NOMpro	NOMB.=s|GENRE=m|CAS=n
D	D	PRE	MORPH=empty
Sistel	Sistel	VERppe	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Biza	Biza	ADVgen	DEGRE=-
P	P	PRE	MORPH=empty
Sistels	Sistel	VERppe	NOMB.=s|GENRE=m|CAS=n
P	P	PRE	MORPH=empty
Mazoeir	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Patriarcha	Patriarcha	NOMpro	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Bornet	Bornet	NOMpro	NOMB.=p|GENRE=m|CAS=n
